 InvH_pty_icode,InvH_Billdate,,
 0,4/1/2009,3:14:00,PM
 0,4/1/2009,3:15:00,PM
 0,4/1/2009,3:16:00,PM
 0,4/1/2009,3:16:00,PM
 0,4/1/2009,3:17:00,PM
 0,4/1/2009,3:18:00,PM
 0,4/1/2009,3:18:00,PM
 0,4/1/2009,3:18:00,PM
 0,4/1/2009,3:18:00,PM
 0,4/1/2009,3:19:00,PM
 0,4/1/2009,3:19:00,PM
 0,4/1/2009,3:19:00,PM
 0,4/1/2009,3:19:00,PM
 0,4/1/2009,3:21:00,PM
 0,4/1/2009,3:21:00,PM
 0,4/1/2009,3:22:00,PM
 0,4/1/2009,3:24:00,PM
 0,4/1/2009,3:26:00,PM
 0,4/1/2009,3:26:00,PM
 0,4/1/2009,3:27:00,PM
 0,4/1/2009,3:28:00,PM
 0,4/1/2009,3:28:00,PM
 0,4/1/2009,3:28:00,PM
 0,4/1/2009,3:28:00,PM
 0,4/1/2009,3:29:00,PM
 0,4/1/2009,3:30:00,PM
 0,4/1/2009,3:30:00,PM
 0,4/1/2009,3:30:00,PM
 0,4/1/2009,3:31:00,PM
 0,4/1/2009,3:31:00,PM
 0,4/1/2009,3:32:00,PM
 0,4/1/2009,3:33:00,PM
 2707,4/1/2009,3:33:00,PM
 0,4/1/2009,3:33:00,PM
 0,4/1/2009,3:33:00,PM
 0,4/1/2009,3:33:00,PM
 0,4/1/2009,3:34:00,PM
 0,4/1/2009,3:34:00,PM
 0,4/1/2009,3:34:00,PM
 0,4/1/2009,3:35:00,PM
 0,4/1/2009,3:35:00,PM
 0,4/1/2009,3:36:00,PM
 0,4/1/2009,3:36:00,PM
 0,4/1/2009,3:37:00,PM
 0,4/1/2009,3:38:00,PM
 0,4/1/2009,3:39:00,PM
 0,4/1/2009,3:40:00,PM
 0,4/1/2009,3:40:00,PM
 0,4/1/2009,3:40:00,PM
 0,4/1/2009,3:40:00,PM
 0,4/1/2009,3:41:00,PM
 0,4/1/2009,3:42:00,PM
 0,4/1/2009,3:43:00,PM
 0,4/1/2009,3:44:00,PM
 0,4/1/2009,3:44:00,PM
 0,4/1/2009,3:45:00,PM
 0,4/1/2009,3:45:00,PM
 0,4/1/2009,3:46:00,PM
 0,4/1/2009,3:46:00,PM
 0,4/1/2009,3:47:00,PM
 0,4/1/2009,3:47:00,PM
 0,4/1/2009,3:47:00,PM
 0,4/1/2009,3:48:00,PM
 0,4/1/2009,3:49:00,PM
 0,4/1/2009,3:49:00,PM
 0,4/1/2009,3:49:00,PM
 0,4/1/2009,3:49:00,PM
 0,4/1/2009,3:50:00,PM
 0,4/1/2009,3:51:00,PM
 0,4/1/2009,3:51:00,PM
 0,4/1/2009,3:51:00,PM
 0,4/1/2009,3:52:00,PM
 0,4/1/2009,3:52:00,PM
 0,4/1/2009,3:53:00,PM
 0,4/1/2009,3:53:00,PM
 0,4/1/2009,3:55:00,PM
